# Emission spectrum of  in diethyl ether
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by  on on 12-11-1997 
# using a Spex FluoroMax.   The excitation and emission monochromators were set at 1 mm, giving a spectral bandwidth of 4.25 nm.  The data interval was 0.5 nm and the integration time was 2.0 sec. Samples were prepared in 1cm pathlength quartz cells with absorbance less than 0.1 at the excitation and all emission wavelengths to uniformly illuminate across the sample, and to avoid the inner-filter effect.  The dark counts were subtracted and the spectra were corrected for wavelength-dependent instrument sensitivity.
#
##Wavelength (nm)	Emission (AU)
550	1519
551	1517
552	1501
553	1506
554	1593
555	1681
556	1712
557	1654
558	1783
559	1840
560	1918
561	1864
562	1816
563	2026
564	1917
565	1991
566	2119
567	2188
568	2239
569	2453
570	2551
571	2672
572	2860
573	2728
574	3016
575	3162
576	3288
577	3601
578	3864
579	3894
580	4192
581	4358
582	4828
583	5436
584	5956
585	6329
586	6717
587	7544
588	8389
589	9058
590	10043
591	10902
592	11801
593	12719
594	14265
595	15091
596	16169
597	18121
598	19332
599	20881
600	22980
601	24773
602	27130
603	30198
604	33367
605	36917
606	40672
607	45093
608	50669
609	56560
610	62541
611	70810
612	78853
613	87971
614	97824
615	109645
616	123686
617	144242
618	165685
619	193612
620	230915
621	276414
622	341266
623	415939
624	522406
625	656222
626	853350
627	1078519
628	1387261
629	1761813
630	2255695
631	2801638
632	3520676
633	4322012
634	5326164
635	6351428
636	7578965
637	8770593
638	10017740
639	11090950
640	12181430
641	13036230
642	13745020
643	14159530
644	14348020
645	14304800
646	13979000
647	13516070
648	12763930
649	11922550
650	10848720
651	9903673
652	8844213
653	7950008
654	7075752
655	6371940
656	5699377
657	5134681
658	4603184
659	4202184
660	3820146
661	3508436
662	3226988
663	3027969
664	2825390
665	2666261
666	2524055
667	2419244
668	2322664
669	2255648
670	2188175
671	2139695
672	2097091
673	2067774
674	2045410
675	2022987
676	2015736
677	1996496
678	1980081
679	1973019
680	1946667
681	1941300
682	1927853
683	1927872
684	1917978
685	1929305
686	1935011
687	1956599
688	1987346
689	2032467
690	2083581
691	2147536
692	2205930
693	2284221
694	2357082
695	2431597
696	2508593
697	2579338
698	2635395
699	2686813
700	2715445
701	2749558
702	2760341
703	2769148
704	2736148
705	2718102
706	2666095
707	2626244
708	2547407
709	2497515
710	2406918
711	2330988
712	2243501
713	2161155
714	2065840
715	1978965
716	1876531
717	1783428
718	1682417
719	1591195
720	1485779
721	1380496
722	1285596
723	1197951
724	1109548
725	1030710
726	955467
727	894215
728	835493
729	780123
730	728286
731	689581
732	642411
733	605917
734	579806
735	553986
736	523816
737	508385
738	481132
739	468040
740	454318
741	443085
742	429854
743	416764
744	407226
745	398627
746	389146
747	381613
748	370023
749	368918
750	360991
