# Emission spectrum of  in methanol
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by  on on 12-11-1997 
# using a Spex FluoroMax.   The excitation and emission monochromators were set at 1 mm, giving a spectral bandwidth of 4.25 nm.  The data interval was 0.5 nm and the integration time was 2.0 sec. Samples were prepared in 1cm pathlength quartz cells with absorbance less than 0.1 at the excitation and all emission wavelengths to uniformly illuminate across the sample, and to avoid the inner-filter effect.  The dark counts were subtracted and the spectra were corrected for wavelength-dependent instrument sensitivity.
#
##Wavelength (nm)	Emission (AU)
600	20786
601	22982
602	24737
603	27783
604	30402
605	33121
606	36458
607	39278
608	42190
609	45837
610	48959
611	52177
612	54922
613	59106
614	64337
615	68522
616	73877
617	78666
618	85670
619	91633
620	99217
621	109639
622	119289
623	130717
624	144562
625	161307
626	181470
627	203736
628	232894
629	261293
630	299851
631	346545
632	396061
633	463378
634	540485
635	646063
636	769623
637	927617
638	1115225
639	1349835
640	1633047
641	2003267
642	2435535
643	2962147
644	3606504
645	4338174
646	5226389
647	6237366
648	7413775
649	8781768
650	10274220
651	11899290
652	13663080
653	15494320
654	17344540
655	19245310
656	21095460
657	23102830
658	25074310
659	27123380
660	29116540
661	31178250
662	33072780
663	34918910
664	36622110
665	38173670
666	39638360
667	40908320
668	41889410
669	42599870
670	43064510
671	43252110
672	43094280
673	42587660
674	41788000
675	40602260
676	39191400
677	37564950
678	35794230
679	33890060
680	32022770
681	30012520
682	28119700
683	26200440
684	24393030
685	22638970
686	21204180
687	19823770
688	18673050
689	17561250
690	16641260
691	15837300
692	15136580
693	14574920
694	14074970
695	13667460
696	13297970
697	13003200
698	12782890
699	12595830
700	12434630
701	12375390
702	12343640
703	12332340
704	12355470
705	12422420
706	12503620
707	12592930
708	12708270
709	12860350
710	13012530
711	13172520
712	13372430
713	13534480
714	13707780
715	13854840
716	14000010
717	14077030
718	14169200
719	14205770
720	14178130
721	14127140
722	14046740
723	13867660
724	13699200
725	13438130
726	13178830
727	12890260
728	12557840
729	12213020
730	11812130
731	11402290
732	10980060
733	10573740
734	10170910
735	9717760
736	9338133
737	8941632
738	8590854
739	8216653
740	7868422
741	7558775
742	7226572
743	6905526
744	6579508
745	6267933
746	6001092
747	5699383
748	5446116
749	5193727
750	4954932
751	4705318
752	4491984
753	4285898
754	4068493
755	3847887
756	3685878
757	3481897
758	3324028
759	3161071
760	3017044
761	2870704
762	2755319
763	2632548
764	2524484
765	2428663
766	2340027
767	2232400
768	2145814
769	2062947
770	1987875
771	1918994
772	1856451
773	1790958
774	1758838
775	1701694
776	1662837
777	1618954
778	1581214
779	1534799
780	1505923
781	1473308
782	1451811
783	1411900
784	1369480
785	1339429
786	1318009
787	1288135
788	1268096
789	1235680
790	1215672
791	1186706
792	1166303
793	1130628
794	1112656
795	1093751
796	1060367
797	1042057
798	1034654
799	1007525
800	981908
