# Emission spectrum of  in diethyl ether
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by  on on 12-11-1997 
# using a Spex FluoroMax.   The excitation and emission monochromators were set at 1 mm, giving a spectral bandwidth of 4.25 nm.  The data interval was 0.5 nm and the integration time was 2.0 sec. Samples were prepared in 1cm pathlength quartz cells with absorbance less than 0.1 at the excitation and all emission wavelengths to uniformly illuminate across the sample, and to avoid the inner-filter effect.  The dark counts were subtracted and the spectra were corrected for wavelength-dependent instrument sensitivity.
#
##Wavelength (nm)	Emission (AU)
620	145208
621	144761
622	156696
623	166844
624	179703
625	193678
626	210663
627	224292
628	243477
629	266299
630	292586
631	324081
632	362888
633	407237
634	472373
635	545691
636	640029
637	753924
638	907440
639	1077217
640	1326161
641	1617418
642	2012105
643	2464644
644	3067060
645	3751505
646	4669937
647	5689336
648	7064713
649	8599430
650	10583440
651	12551380
652	14925520
653	17282930
654	19843830
655	22174590
656	24800730
657	27375410
658	29999980
659	32341930
660	34776840
661	36940220
662	38932730
663	40457930
664	41725950
665	42515940
666	42861670
667	42809840
668	42145990
669	41118360
670	39401830
671	37491720
672	34957480
673	32438130
674	29509450
675	26905360
676	24244380
677	21953050
678	19716900
679	18065060
680	16310210
681	14980320
682	13700170
683	12661460
684	11716400
685	10916520
686	10240850
687	9750210
688	9280824
689	8898988
690	8592590
691	8415687
692	8241897
693	8140757
694	8057314
695	8006963
696	7965699
697	7973080
698	7971343
699	7983186
700	7995313
701	8028817
702	8078971
703	8126688
704	8197318
705	8281203
706	8365817
707	8477737
708	8610035
709	8765378
710	8932309
711	9098104
712	9286296
713	9468396
714	9688825
715	9862722
716	10025600
717	10166930
718	10273540
719	10380640
720	10427080
721	10463090
722	10423360
723	10357880
724	10245950
725	10095940
726	9941060
727	9791253
728	9573803
729	9353651
730	9092530
731	8862338
732	8605124
733	8321802
734	8058308
735	7797899
736	7518990
737	7230747
738	6897498
739	6650958
740	6324118
741	6042388
742	5701054
743	5413492
744	5056490
745	4754422
746	4395798
747	4104057
748	3787929
749	3551820
750	3270789
751	3048357
752	2815366
753	2624286
754	2425814
755	2277006
756	2126939
757	1978662
758	1880034
759	1783882
760	1683821
761	1599162
762	1515280
763	1472451
764	1421405
765	1371038
766	1327800
767	1289943
768	1244023
769	1213795
770	1181508
771	1168591
772	1136362
773	1122059
774	1104346
775	1088135
776	1068514
777	1059297
778	1050452
779	1034752
780	1030101
781	1015985
782	1009031
783	1003092
784	992361
785	974302
786	967919
787	969341
788	953950
789	933136
790	939054
791	927416
792	916775
793	909837
794	892646
795	886334
796	880109
797	860775
798	851480
799	840359
800	835807
